method,image_id,repeat,k_budget,k,cost,k_norm,mse,ssim,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels
greedy,5,,1,1,0.10000000149011612,0.1,0.00443423492833972,0.8034664750460194,0.9955657650716603,0.8034664750460194,0.8999999985098839,0.9,0,H00
greedy,5,,2,2,0.20000000298023224,0.2,0.002505419310182333,0.871336864261012,0.9974945806898177,0.871336864261012,0.7999999970197678,0.8,0 2,H00 H10
greedy,5,,3,3,0.30000001192092896,0.3,0.0014350415440276265,0.9013668002647112,0.9985649584559724,0.9013668002647112,0.699999988079071,0.7,0 2 5,H00 H10 H20
greedy,5,,4,4,0.4000000059604645,0.4,0.0010777186835184693,0.9172495640327049,0.9989222813164815,0.9172495640327049,0.5999999940395355,0.6,0 2 4 5,H00 H10 H11 H20
greedy,5,,5,5,0.5,0.5,0.0008817308116704226,0.9313390782539258,0.9991182691883296,0.9313390782539258,0.5,0.5,0 2 3 4 5,H00 H10 H02 H11 H20
greedy,5,,6,6,0.6000000238418579,0.6,0.00081496755592525,0.9385678445771957,0.9991850324440747,0.9385678445771957,0.3999999761581421,0.4,0 2 3 4 5 6,H00 H10 H02 H11 H20 H03
greedy,5,,7,7,0.699999988079071,0.7,0.000772513565607369,0.9420705665607231,0.9992274864343926,0.9420705665607231,0.30000001192092896,0.30000000000000004,0 2 3 4 5 6 9,H00 H10 H02 H11 H20 H03 H30
greedy,5,,8,8,0.800000011920929,0.8,0.0007542341481894255,0.9425639638878786,0.9992457658518106,0.9425639638878786,0.19999998807907104,0.19999999999999996,0 2 3 4 5 6 8 9,H00 H10 H02 H11 H20 H03 H21 H30
greedy,5,,9,9,0.8999999761581421,0.9,0.0007542628445662558,0.9422892980569891,0.9992457371554337,0.9422892980569891,0.10000002384185791,0.09999999999999998,0 1 2 3 4 5 6 8 9,H00 H01 H10 H02 H11 H20 H03 H21 H30
greedy,5,,10,10,1.0,1.0,0.0007503386586904526,0.9419072129355033,0.9992496613413095,0.9419072129355033,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30
