method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions,reconstruction_mode
random,6,19,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0024421231355518103,0.9134712767622275,0.9255454371427827,0.9975578768644482,0.9134712767622275,0.4444444444444444,0.4444444444444444,0 2 3 4 5 9,H00 H10 H02 H11 H20 H30,2 3 4 5 9,H10 H02 H11 H20 H30,,,,,direct_sum
random,7,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003978441469371319,0.755055812662567,0.7353170418274846,0.9960215585306287,0.755055812662567,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,,direct_sum
random,7,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003978441469371319,0.755055812662567,0.7353170418274846,0.9960215585306287,0.755055812662567,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,,direct_sum
random,7,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.004751227796077728,0.7555070133917432,0.7918331324249444,0.9952487722039223,0.7555070133917432,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,,,,direct_sum
random,7,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003978441469371319,0.755055812662567,0.7353170418274846,0.9960215585306287,0.755055812662567,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,,direct_sum
random,7,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0038380867335945368,0.7840767540303408,0.8420305104666962,0.9961619132664055,0.7840767540303408,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,,direct_sum
random,7,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0038380867335945368,0.7840767540303408,0.8420305104666962,0.9961619132664055,0.7840767540303408,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,,direct_sum
random,7,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.006861611735075712,0.7351457092498638,0.7527240732098432,0.9931383882649243,0.7351457092498638,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,direct_sum
random,7,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.004242067225277424,0.7532950955554931,0.7241727017943543,0.9957579327747226,0.7532950955554931,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,,direct_sum
random,7,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.005165424197912216,0.7273999921651945,0.7119872312186456,0.9948345758020878,0.7273999921651945,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,,direct_sum
random,7,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00467330776154995,0.772436733828253,0.7672144068083508,0.99532669223845,0.772436733828253,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,,,,direct_sum
random,7,10,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.004751227796077728,0.7555070133917432,0.7918331324249444,0.9952487722039223,0.7555070133917432,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,,,,direct_sum
random,7,11,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.004242067225277424,0.7532950955554931,0.7241727017943543,0.9957579327747226,0.7532950955554931,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,,direct_sum
random,7,12,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.006861611735075712,0.7351457092498638,0.7527240732098432,0.9931383882649243,0.7351457092498638,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,direct_sum
random,7,13,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0038380867335945368,0.7840767540303408,0.8420305104666962,0.9961619132664055,0.7840767540303408,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,,direct_sum
