method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions,is_pareto_global,is_pareto_by_method
top-k energy,6,,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0006051611853763,0.9457402894811596,0.9061466472424106,0.9993948388146237,0.9457402894811596,0.3333333333333333,0.3333333333333333,0 1 2 3 6 7 9,H00 H01 H10 H02 H03 H12 H30,1 2 3 6 7 9,H01 H10 H02 H03 H12 H30,,,,,False,True
top-k energy,6,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.000482915493194,0.9541730800030064,0.9298099086751054,0.999517084506806,0.9541730800030064,0.2222222222222222,0.2222222222222222,0 1 2 3 4 6 7 9,H00 H01 H10 H02 H11 H03 H12 H30,1 2 3 4 6 7 9,H01 H10 H02 H11 H03 H12 H30,,,,,False,True
top-k energy,6,,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0003963081398978,0.9609296675439256,0.9478673365380677,0.999603691860102,0.9609296675439256,0.1111111111111111,0.1111111111111111,0 1 2 3 4 6 7 8 9,H00 H01 H10 H02 H11 H03 H12 H21 H30,1 2 3 4 6 7 8 9,H01 H10 H02 H11 H03 H12 H21 H30,,,,,False,True
top-k energy,6,,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
greedy,4,,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0004499269707594,0.9575118598806164,0.948153269699134,0.9995500730292406,0.9575118598806164,0.6666666666666667,0.6666666666666667,0 3 4 5,H00 H02 H11 H20,3 4 5,H02 H11 H20,,,,,False,True
greedy,4,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0003741089021787,0.9638608461079784,0.951031557876549,0.9996258910978212,0.9638608461079784,0.5555555555555556,0.5555555555555556,0 3 4 5 6,H00 H02 H11 H20 H03,3 4 5 6,H02 H11 H20 H03,,,,,True,True
greedy,6,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0008360092760995,0.9240042881488658,0.8733837660484747,0.9991639907239004,0.9240042881488658,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,,True,True
greedy,6,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0005874915514141,0.9488225226045788,0.9235264681634248,0.999412508448586,0.9488225226045788,0.7777777777777778,0.7777777777777778,0 2 8,H00 H10 H21,2 8,H10 H21,,,,,True,True
greedy,6,,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0003393200749997,0.9684969921564234,0.9601199963016698,0.9996606799250004,0.9684969921564234,0.4444444444444444,0.4444444444444444,0 2 3 4 5 8,H00 H10 H02 H11 H20 H21,2 3 4 5 8,H10 H02 H11 H20 H21,,,,,False,True
greedy,6,,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0003136490413453,0.970301418752364,0.9648029686240304,0.9996863509586548,0.970301418752364,0.3333333333333333,0.3333333333333333,0 2 3 4 5 8 9,H00 H10 H02 H11 H20 H21 H30,2 3 4 5 8 9,H10 H02 H11 H20 H21 H30,,,,,False,True
greedy,6,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0003111997502855,0.9709844431008228,0.9647771916442164,0.9996888002497144,0.9709844431008228,0.2222222222222222,0.2222222222222222,0 2 3 4 5 6 8 9,H00 H10 H02 H11 H20 H03 H21 H30,2 3 4 5 6 8 9,H10 H02 H11 H20 H03 H21 H30,,,,,True,True
greedy,6,,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0003109154640696,0.9710753739199088,0.9647958163673324,0.9996890845359304,0.9710753739199088,0.1111111111111111,0.1111111111111111,0 2 3 4 5 6 7 8 9,H00 H10 H02 H11 H20 H03 H12 H21 H30,2 3 4 5 6 7 8 9,H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
greedy,6,,9,9,10,9,1.0,1.0,1.0,0.0003065512573812,0.9707384161943488,0.9658649917084547,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
Envelope-DQN,6,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0010648594470694,0.9211688234064368,0.8749879742751393,0.9989351405529304,0.9211688234064368,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,0.0,high_fidelity,0.550 0.250 0.100 0.100,4 10,False,True
Envelope-DQN,6,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0010648594470694,0.9211688234064368,0.8749879742751393,0.9989351405529304,0.9211688234064368,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,4 10,False,True
Envelope-DQN,6,,0,0,1,0,0.0,0.0,0.0,0.0017141565913334,0.8677194701190971,0.7970606742562775,0.9982858434086666,0.8677194701190971,1.0,1.0,0,H00,,,2.0,general_balance,0.250 0.250 0.250 0.250,10,True,True
Envelope-DQN,6,,0,0,1,0,0.0,0.0,0.0,0.0017141565913334,0.8677194701190971,0.7970606742562775,0.9982858434086666,0.8677194701190971,1.0,1.0,0,H00,,,3.0,compact,0.200 0.200 0.300 0.300,10,True,True
Envelope-DQN,6,,0,0,1,0,0.0,0.0,0.0,0.0017141565913334,0.8677194701190971,0.7970606742562775,0.9982858434086666,0.8677194701190971,1.0,1.0,0,H00,,,4.0,very_compact,0.150 0.150 0.350 0.350,10,True,True
