image_id,k,selected_indices,mse,ssim
36,3,0 1 6,0.0018674678867682815,0.8170084212325274
36,5,0 1 6 9 2,0.0016055968590080738,0.8394987531334126
36,10,0 1 6 9 2 8 7 3 5 4,0.0008603661553934216,0.9146283730492438
37,1,0,0.003982699941843748,0.6812698549951464
37,3,0 2 9,0.001962284790351987,0.8341908536443883
37,5,0 2 9 1 6,0.0015444941818714142,0.8697930304278197
37,10,0 2 9 1 6 4 7 3 5 8,0.0007087165722623467,0.9374351287160986
38,1,0,0.003237640717998147,0.7251322270458505
38,3,0 2 9,0.0020290007814764977,0.808082135214817
38,5,0 2 9 7 6,0.0018289077561348677,0.8387718199974858
38,10,0 2 9 7 6 1 3 5 8 4,0.0010417364537715912,0.9060983409779534
39,1,0,0.0028499681502580643,0.7693135804229823
39,3,0 2 9,0.0017776964232325554,0.8549440522353174
39,5,0 2 9 1 6,0.0011417928617447615,0.8917206321908305
39,10,0 2 9 1 6 7 8 3 5 4,0.00048494781367480755,0.9422573653868135
40,1,0,0.003362582065165043,0.6735280434663024
40,3,0 9 2,0.0021710488945245743,0.7730369819826518
40,5,0 9 2 7 6,0.0017699096351861954,0.8310256802546708
40,10,0 9 2 7 6 1 3 8 4 5,0.0010176233481615782,0.9020637420496674
41,1,0,0.0034315730445086956,0.7812166899541231
41,3,0 2 9,0.0019150940934196115,0.8821844596722508
41,5,0 2 9 7 1,0.0016461069462820888,0.8987768567294573
41,10,0 2 9 7 1 6 5 3 4 8,0.0008133159135468304,0.9509156049449577
42,1,0,0.0015377991367131472,0.8204179049738628
42,3,0 2 9,0.0008603325113654137,0.8840093679292024
42,5,0 2 9 1 6,0.0006504871416836977,0.9205569052685597
42,10,0 2 9 1 6 7 4 8 3 5,0.00030780359520576894,0.9607718025248909
43,1,0,0.0019171861931681633,0.7992119064685245
43,3,0 9 2,0.0009841150604188442,0.883594889942375
43,5,0 9 2 7 6,0.0008858104702085257,0.8956403049344682
43,10,0 9 2 7 6 1 3 4 5 8,0.0003566162195056677,0.9564618987256083
44,1,0,0.001008792663924396,0.8773070637725834
44,3,0 2 9,0.0005962325376458466,0.9104082332027015
44,5,0 2 9 7 1,0.00039759144419804215,0.9418825883591075
44,10,0 2 9 7 1 6 3 5 8 4,0.00020619435235857964,0.9657234319271996
45,1,0,0.003209950402379036,0.615531116814821
45,3,0 2 9,0.0021965911146253347,0.7468914558333605
45,5,0 2 9 7 1,0.0018309354782104492,0.7995989514198087
45,10,0 2 9 7 1 6 4 5 8 3,0.001107836957089603,0.8831434252269912
46,1,0,0.0038561883848160505,0.6076995441645792
46,3,0 1 6,0.0027791233733296394,0.7237853453041683
46,5,0 1 6 2 9,0.002467731712386012,0.7605709572822104
46,10,0 1 6 2 9 8 7 4 5 3,0.0015569394454360008,0.8582358461108134
47,1,0,0.00327123561874032,0.7650048866597814
47,3,0 1 6,0.001975125167518854,0.8614459180945306
47,5,0 1 6 2 9,0.0016397160943597555,0.8810163969251545
47,10,0 1 6 2 9 8 7 3 5 4,0.0007217969396151602,0.9391822028599511
48,1,0,0.0012831215281039476,0.8365974550032446
48,3,0 6 1,0.0008462751284241676,0.8864382609778154
48,5,0 6 1 2 9,0.0005555965472012758,0.920237323510661
48,10,0 6 1 2 9 8 7 4 5 3,0.0002605233166832477,0.9618871876267843
49,1,0,0.0027669486589729786,0.7466122237300333
49,3,0 1 6,0.0017935172654688358,0.8453813168794962
49,5,0 1 6 2 9,0.0013016735902056098,0.8834851759571171
49,10,0 1 6 2 9 8 7 4 3 5,0.000600299914367497,0.9464052201699417
50,1,0,0.004583664238452911,0.7657122535533609
50,3,0 1 2,0.0018300032243132591,0.9003374846729668
50,5,0 1 2 6 9,0.0017982467543333769,0.8982809329766439
50,10,0 1 2 6 9 8 7 4 5 3,0.0007124497788026929,0.9573533384397396
51,1,0,0.0025699364487081766,0.7542833662622328
51,3,0 2 9,0.0015045135514810681,0.8416578331286715
51,5,0 2 9 7 1,0.0012842703144997358,0.8725612119602109
51,10,0 2 9 7 1 6 3 5 8 4,0.0006823450094088912,0.9224850146828594
52,1,0,0.004378097131848335,0.7438907887884632
52,3,0 2 9,0.002531039761379361,0.8535877638834215
52,5,0 2 9 1 6,0.0017224254552274942,0.8966767628202115
52,10,0 2 9 1 6 7 8 3 5 4,0.0006764422287233174,0.9572284075118132
53,1,0,0.0032505933195352554,0.755452067235498
53,3,0 2 9,0.002115605166181922,0.850484042435632
53,5,0 2 9 1 6,0.0015590136172249913,0.8883229632298246
53,10,0 2 9 1 6 7 8 3 5 4,0.0006095707649365067,0.9527124972143581
54,1,0,0.002123134210705757,0.8024349885059169
54,3,0 2 9,0.001165136811323464,0.8902966254230203
54,5,0 2 9 6 1,0.0007668311009183526,0.9238104914424677
54,10,0 2 9 6 1 7 8 4 3 5,0.0003309461462777108,0.9674688634350808
55,1,0,0.00443423492833972,0.8034664750460194
55,3,0 2 9,0.0024954802356660366,0.8712647438036027
