method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels
random,9,7,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002751387422904372,0.8196257474421391,0.7891516788823709,0.9972486125770956,0.8196257474421391,0.7777777777777778,0.7777777777777778,0 2 7,H00 H10 H12,2 7,H10 H12
random,9,8,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0029983017593622208,0.8168655072430793,0.8132608986061199,0.9970016982406378,0.8168655072430793,0.7777777777777778,0.7777777777777778,0 1 9,H00 H01 H30,1 9,H01 H30
random,9,9,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002803579205647111,0.8183549902624452,0.8002358633507376,0.9971964207943529,0.8183549902624452,0.7777777777777778,0.7777777777777778,0 7 9,H00 H12 H30,7 9,H12 H30
random,9,10,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002579709282144904,0.8339142004442129,0.7856070383154197,0.9974202907178551,0.8339142004442129,0.7777777777777778,0.7777777777777778,0 3 6,H00 H02 H03,3 6,H02 H03
random,9,11,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0022836271673440933,0.8552306825416904,0.8165872635920086,0.9977163728326559,0.8552306825416904,0.7777777777777778,0.7777777777777778,0 1 7,H00 H01 H12,1 7,H01 H12
random,9,12,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002499900758266449,0.8320641047969088,0.801134250741267,0.9975000992417336,0.8320641047969088,0.7777777777777778,0.7777777777777778,0 2 3,H00 H10 H02,2 3,H10 H02
random,9,13,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0024798503145575523,0.850688944886329,0.8803320980415108,0.9975201496854424,0.850688944886329,0.7777777777777778,0.7777777777777778,0 5 6,H00 H20 H03,5 6,H20 H03
random,9,14,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0025437346193939447,0.84846642371555,0.8807732131195063,0.997456265380606,0.84846642371555,0.7777777777777778,0.7777777777777778,0 5 8,H00 H20 H21,5 8,H20 H21
random,9,15,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002149706007912755,0.8687918584585616,0.8376153928463863,0.9978502939920872,0.8687918584585616,0.7777777777777778,0.7777777777777778,0 2 4,H00 H10 H11,2 4,H10 H11
random,9,16,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002440979238599539,0.8374861903692398,0.8309959139489783,0.9975590207614005,0.8374861903692398,0.7777777777777778,0.7777777777777778,0 3 9,H00 H02 H30,3 9,H02 H30
