method,preference_id,preference_name,preference,image_id,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,actions
Envelope-DQN,2,general_balance,0.250 0.250 0.250 0.250,3,0,0,1,0,0.0,0.0,0.0,0.0032505930867046118,0.7554520958778199,0.6864736830626611,0.9967494069132954,0.7554520958778199,1.0,1.0,0,H00,,,10
Envelope-DQN,2,general_balance,0.250 0.250 0.250 0.250,4,0,0,1,0,0.0,0.0,0.0,0.0021231339778751135,0.8024347821443245,0.7413016753270075,0.9978768660221249,0.8024347821443245,1.0,1.0,0,H00,,,10
Envelope-DQN,2,general_balance,0.250 0.250 0.250 0.250,5,0,0,1,0,0.0,0.0,0.0,0.004434235394001007,0.803466357294067,0.727741286282718,0.995565764605999,0.803466357294067,1.0,1.0,0,H00,,,10
Envelope-DQN,2,general_balance,0.250 0.250 0.250 0.250,6,0,0,1,0,0.0,0.0,0.0,0.0017141565913334489,0.8677194701190971,0.7970606742562775,0.9982858434086666,0.8677194701190971,1.0,1.0,0,H00,,,10
Envelope-DQN,2,general_balance,0.250 0.250 0.250 0.250,7,0,0,1,0,0.0,0.0,0.0,0.004725308623164892,0.6450715669714978,0.6638112394199861,0.9952746913768351,0.6450715669714978,1.0,1.0,0,H00,,,10
Envelope-DQN,2,general_balance,0.250 0.250 0.250 0.250,8,0,0,1,0,0.0,0.0,0.0,0.005171673372387886,0.6759085805331413,0.6272670983293864,0.9948283266276121,0.6759085805331413,1.0,1.0,0,H00,,,10
Envelope-DQN,2,general_balance,0.250 0.250 0.250 0.250,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128223957267992,0.66650703802436,0.9951241258531809,0.7128223957267992,1.0,1.0,0,H00,,,10
Envelope-DQN,3,compact,0.200 0.200 0.300 0.300,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.76571156180549,0.7103626398281342,0.9954163357615471,0.76571156180549,1.0,1.0,0,H00,,,10
Envelope-DQN,3,compact,0.200 0.200 0.300 0.300,1,0,0,1,0,0.0,0.0,0.0,0.0025699366815388203,0.7542832652098576,0.7371436819482458,0.9974300633184612,0.7542832652098576,1.0,1.0,0,H00,,,10
Envelope-DQN,3,compact,0.200 0.200 0.300 0.300,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907766258998,0.6861632805796961,0.9956219028681517,0.7438907766258998,1.0,1.0,0,H00,,,10
