method,preference_id,preference_name,preference,image_id,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,actions,repeat
random,,mse_ssim_balance,,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0013440039474517107,0.9021601968807004,0.8409563143287565,0.9986559960525483,0.9021601968807004,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,
top-k energy,,mse_ssim_balance,,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0012225499376654625,0.8973037685875589,0.8344807960083354,0.9987774500623345,0.8973037685875589,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,
greedy,,mse_ssim_balance,,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.000836009276099503,0.9240033669124815,0.873383759523798,0.9991639907239005,0.9240033669124815,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
Envelope-DQN,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0027376851066946983,0.8188216988878783,0.7892422630097179,0.9972623148933053,0.8188216988878783,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,mse_ssim_balance,,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0028862464241683483,0.7851694083033964,0.7439704821482418,0.9971137535758317,0.7851694083033964,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,
top-k energy,,mse_ssim_balance,,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002625853754580021,0.7953278319987687,0.7671014713103048,0.99737414624542,0.7953278319987687,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,
greedy,,mse_ssim_balance,,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0027376851066946983,0.8188216988878783,0.7892422630097179,0.9972623148933053,0.8188216988878783,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,
Envelope-DQN,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029997266829013824,0.8394454093993277,0.7404250944625208,0.9970002733170986,0.8394454093993277,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,mse_ssim_balance,,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003997880034148693,0.7616717502581095,0.6770192562073272,0.9960021199658513,0.7616717502581095,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,
top-k energy,,mse_ssim_balance,,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0035083291586488485,0.7983060511035067,0.6906198651163409,0.9964916708413512,0.7983060511035067,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,
greedy,,mse_ssim_balance,,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029997266829013824,0.8394454093993277,0.7404250944625208,0.9970002733170986,0.8394454093993277,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,
Envelope-DQN,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0033812993206083775,0.8274161980955836,0.7682870772094179,0.9966187006793916,0.8274161980955836,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,mse_ssim_balance,,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003476940095424652,0.7770601566947385,0.7914433884422649,0.9965230599045753,0.7770601566947385,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,
