method,preference_id,preference_name,preference,image_id,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,actions,repeat
Envelope-DQN,2.0,general_balance,0.250 0.250 0.250 0.250,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,10,
random,,general_balance,,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,,
top-k energy,,general_balance,,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,,
greedy,,general_balance,,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,,
Envelope-DQN,2.0,general_balance,0.250 0.250 0.250 0.250,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,10,
random,,general_balance,,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,,
top-k energy,,general_balance,,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,,
greedy,,general_balance,,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,,
Envelope-DQN,2.0,general_balance,0.250 0.250 0.250 0.250,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,10,
random,,general_balance,,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,,
top-k energy,,general_balance,,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,,
greedy,,general_balance,,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,,
Envelope-DQN,2.0,general_balance,0.250 0.250 0.250 0.250,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,10,
random,,general_balance,,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,,
top-k energy,,general_balance,,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,,
greedy,,general_balance,,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,,
Envelope-DQN,3.0,compact,0.200 0.200 0.300 0.300,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,10,
random,,compact,,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,,
top-k energy,,compact,,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,,
greedy,,compact,,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,,
Envelope-DQN,3.0,compact,0.200 0.200 0.300 0.300,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,10,
random,,compact,,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,,
top-k energy,,compact,,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,,
greedy,,compact,,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,,
Envelope-DQN,3.0,compact,0.200 0.200 0.300 0.300,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,10,
random,,compact,,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,,
top-k energy,,compact,,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,,
greedy,,compact,,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,,
Envelope-DQN,3.0,compact,0.200 0.200 0.300 0.300,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,10,
random,,compact,,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,,
top-k energy,,compact,,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,,
greedy,,compact,,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,,
Envelope-DQN,3.0,compact,0.200 0.200 0.300 0.300,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,10,
random,,compact,,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,,
top-k energy,,compact,,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,,
greedy,,compact,,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,,
Envelope-DQN,3.0,compact,0.200 0.200 0.300 0.300,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,10,
random,,compact,,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,,
top-k energy,,compact,,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,,
greedy,,compact,,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,,
Envelope-DQN,3.0,compact,0.200 0.200 0.300 0.300,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,10,
random,,compact,,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,,
top-k energy,,compact,,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,,
greedy,,compact,,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,,
Envelope-DQN,3.0,compact,0.200 0.200 0.300 0.300,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,10,
random,,compact,,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,,
top-k energy,,compact,,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,,
greedy,,compact,,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,,
Envelope-DQN,3.0,compact,0.200 0.200 0.300 0.300,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,10,
random,,compact,,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,,
top-k energy,,compact,,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,,
greedy,,compact,,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,,
Envelope-DQN,3.0,compact,0.200 0.200 0.300 0.300,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,10,
random,,compact,,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,,
top-k energy,,compact,,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,,
greedy,,compact,,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,,
Envelope-DQN,4.0,very_compact,0.150 0.150 0.350 0.350,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,10,
random,,very_compact,,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,,
top-k energy,,very_compact,,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,,
greedy,,very_compact,,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,,
Envelope-DQN,4.0,very_compact,0.150 0.150 0.350 0.350,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,10,
random,,very_compact,,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,,
top-k energy,,very_compact,,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,,
greedy,,very_compact,,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,,
Envelope-DQN,4.0,very_compact,0.150 0.150 0.350 0.350,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,10,
random,,very_compact,,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,,
top-k energy,,very_compact,,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,,
greedy,,very_compact,,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,,
Envelope-DQN,4.0,very_compact,0.150 0.150 0.350 0.350,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,10,
random,,very_compact,,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,,
top-k energy,,very_compact,,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,,
greedy,,very_compact,,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,,
Envelope-DQN,4.0,very_compact,0.150 0.150 0.350 0.350,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,10,
random,,very_compact,,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,,
top-k energy,,very_compact,,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,,
greedy,,very_compact,,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,,
Envelope-DQN,4.0,very_compact,0.150 0.150 0.350 0.350,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,10,
random,,very_compact,,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,,
top-k energy,,very_compact,,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,,
greedy,,very_compact,,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,,
Envelope-DQN,4.0,very_compact,0.150 0.150 0.350 0.350,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,10,
random,,very_compact,,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,,
top-k energy,,very_compact,,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,,
greedy,,very_compact,,6,0,0,1,0,0.0,0.0,0.0,0.0017141567077487707,0.8677197799516242,0.7970606496935626,0.9982858432922512,0.8677197799516242,1.0,1.0,0,H00,,,,
Envelope-DQN,4.0,very_compact,0.150 0.150 0.350 0.350,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,10,
random,,very_compact,,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,,
top-k energy,,very_compact,,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,,
greedy,,very_compact,,7,0,0,1,0,0.0,0.0,0.0,0.0047253090888261795,0.6450714768927548,0.663811269699913,0.9952746909111738,0.6450714768927548,1.0,1.0,0,H00,,,,
Envelope-DQN,4.0,very_compact,0.150 0.150 0.350 0.350,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,10,
random,,very_compact,,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,,
top-k energy,,very_compact,,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,,
greedy,,very_compact,,8,0,0,1,0,0.0,0.0,0.0,0.005171672441065311,0.6759086361699754,0.6272671376377394,0.9948283275589347,0.6759086361699754,1.0,1.0,0,H00,,,,
Envelope-DQN,4.0,very_compact,0.150 0.150 0.350 0.350,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,10,
random,,very_compact,,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,,
top-k energy,,very_compact,,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,,
greedy,,very_compact,,9,0,0,1,0,0.0,0.0,0.0,0.004875874146819115,0.7128222574791057,0.6665070069186528,0.9951241258531809,0.7128222574791057,1.0,1.0,0,H00,,,,
