method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels
top-k energy,6,,9,9,10,9,1.0,1.0,1.0,0.0003065512573812157,0.9707384161943488,0.9658649917084549,0.9996934487426188,0.9707384161943488,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30
top-k energy,7,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002625854453071952,0.7953282315926306,0.7671014415126387,0.997374145546928,0.7953282315926306,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01
top-k energy,7,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002622895874083042,0.7967603212924548,0.7721543109228054,0.997377104125917,0.7967603212924548,0.7777777777777778,0.7777777777777778,0 1 6,H00 H01 H03,1 6,H01 H03
top-k energy,7,,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0026196723338216543,0.7985108581534393,0.7721619749526674,0.9973803276661783,0.7985108581534393,0.6666666666666667,0.6666666666666667,0 1 6 8,H00 H01 H03 H21,1 6 8,H01 H03 H21
top-k energy,7,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0021762794349342585,0.8464467411375783,0.8079690164199864,0.9978237205650657,0.8464467411375783,0.5555555555555556,0.5555555555555556,0 1 2 6 8,H00 H01 H10 H03 H21,1 2 6 8,H01 H10 H03 H21
top-k energy,7,,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0021756512578576803,0.846245105809108,0.8076019276737075,0.9978243487421423,0.846245105809108,0.4444444444444444,0.4444444444444444,0 1 2 6 8 9,H00 H01 H10 H03 H21 H30,1 2 6 8 9,H01 H10 H03 H21 H30
top-k energy,7,,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0013030653353780508,0.8983088505856347,0.9008160480696612,0.998696934664622,0.8983088505856347,0.33333333333333337,0.33333333333333337,0 1 2 3 6 8 9,H00 H01 H10 H02 H03 H21 H30,1 2 3 6 8 9,H01 H10 H02 H03 H21 H30
top-k energy,7,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0011956915259361267,0.9039005730190401,0.9104365084631014,0.9988043084740639,0.9039005730190401,0.2222222222222222,0.2222222222222222,0 1 2 3 5 6 8 9,H00 H01 H10 H02 H20 H03 H21 H30,1 2 3 5 6 8 9,H01 H10 H02 H20 H03 H21 H30
top-k energy,7,,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0010893705766648054,0.9113124993128102,0.9262944802181722,0.9989106294233352,0.9113124993128102,0.11111111111111116,0.11111111111111116,0 1 2 3 5 6 7 8 9,H00 H01 H10 H02 H20 H03 H12 H21 H30,1 2 3 5 6 7 8 9,H01 H10 H02 H20 H03 H12 H21 H30
top-k energy,7,,9,9,10,9,1.0,1.0,1.0,0.0009005171596072614,0.9303428785306237,0.9369156110734296,0.9990994828403927,0.9303428785306237,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30
top-k energy,8,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0035083291586488485,0.798305754767959,0.6906198328206298,0.9964916708413512,0.798305754767959,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01
top-k energy,8,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.003489000489935279,0.8015844898561943,0.6991087183900363,0.9965109995100647,0.8015844898561943,0.7777777777777778,0.7777777777777778,0 1 6,H00 H01 H03,1 6,H01 H03
top-k energy,8,,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.002625273307785392,0.8521995255358153,0.7498620434400618,0.9973747266922146,0.8521995255358153,0.6666666666666667,0.6666666666666667,0 1 2 6,H00 H01 H10 H03,1 2 6,H01 H10 H03
top-k energy,8,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.002616169396787882,0.8518511153863882,0.7459505904833743,0.9973838306032121,0.8518511153863882,0.5555555555555556,0.5555555555555556,0 1 2 6 9,H00 H01 H10 H03 H30,1 2 6 9,H01 H10 H03 H30
top-k energy,8,,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0022845505736768246,0.8726192213343136,0.7950314027392653,0.9977154494263232,0.8726192213343136,0.4444444444444444,0.4444444444444444,0 1 2 6 8 9,H00 H01 H10 H03 H21 H30,1 2 6 8 9,H01 H10 H03 H21 H30
top-k energy,8,,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0018838202813640237,0.8995082168911853,0.8504434958861214,0.998116179718636,0.8995082168911853,0.33333333333333337,0.33333333333333337,0 1 2 6 7 8 9,H00 H01 H10 H03 H12 H21 H30,1 2 6 7 8 9,H01 H10 H03 H12 H21 H30
top-k energy,8,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0016885658260434866,0.9124601904378139,0.851734179843231,0.9983114341739565,0.9124601904378139,0.2222222222222222,0.2222222222222222,0 1 2 4 6 7 8 9,H00 H01 H10 H11 H03 H12 H21 H30,1 2 4 6 7 8 9,H01 H10 H11 H03 H12 H21 H30
