episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,cost,actions
1846,7189,0.050000000000000044,0.30348581075668335,0.0001501203587395139,0.0027194975409656763,0.7972285267824969,1,0.06666666666666667,0 15
1847,7191,0.050000000000000044,0.18845146894454956,0.00012418611004250124,0.0051157474517822266,0.6636837995749556,1,0.06666666666666667,0 15
1848,7193,0.050000000000000044,0.1831447035074234,0.00011136957618873566,0.003824138082563877,0.7307142555142235,1,0.06666666666666667,0 15
1849,7195,0.050000000000000044,0.1312006413936615,0.0001424888032488525,0.0023328824900090694,0.8432090521284006,1,0.06666666666666667,0 15
1850,7200,0.050000000000000044,0.3791298270225525,0.00012448714696802198,0.0009571747505106032,0.8754034078326719,4,0.26666666666666666,0 13 2 10 15
1851,7202,0.050000000000000044,0.16447439789772034,0.0001337835128651932,0.006094321608543396,0.700758538072415,1,0.06666666666666667,0 15
1852,7206,0.050000000000000044,0.3192157447338104,0.0001190804014186142,0.0020584221929311752,0.8529622296622194,3,0.2,0 13 10 15
1853,7209,0.050000000000000044,0.14357857406139374,0.00011977358371950686,0.0027491827495396137,0.8041830419227215,2,0.13333333333333333,0 9 15
1854,7211,0.050000000000000044,0.1312006413936615,0.00011285535219940357,0.0023328824900090694,0.8432090521284006,1,0.06666666666666667,0 15
1855,7213,0.050000000000000044,0.11503994464874268,0.00010379916420788504,0.0028499681502580643,0.7693135804229823,1,0.06666666666666667,0 15
1856,7215,0.050000000000000044,0.12251240015029907,0.00012331243851804174,0.0032903882674872875,0.761178596687975,1,0.06666666666666667,0 15
1857,7218,0.050000000000000044,0.15150411427021027,0.0001595990227845808,0.0016828636871650815,0.8686051399942031,2,0.13333333333333333,2 0 15
1858,7222,0.050000000000000044,0.3569927513599396,0.00013387043873080984,0.0008705592481419444,0.8946568024888475,3,0.2,0 13 10 15
1859,7226,0.050000000000000044,0.35313713550567627,0.00014839474533800967,0.0009513589320704341,0.8959428012707713,3,0.2,0 13 10 15
1860,7228,0.050000000000000044,0.1312006413936615,0.00015072566748131067,0.0023328824900090694,0.8432090521284006,1,0.06666666666666667,0 15
1861,7232,0.050000000000000044,0.4330574572086334,9.472242163610645e-05,0.0005229263915680349,0.9348684450463081,3,0.2,0 13 10 15
1862,7236,0.050000000000000044,0.3760000467300415,0.0001092734128178563,0.0012752693146467209,0.8780217850835513,3,0.2,0 13 10 15
1863,7239,0.050000000000000044,0.369215190410614,0.0001222361121714736,0.0015163259813562036,0.8797101683019883,2,0.13333333333333333,0 13 15
1864,7241,0.050000000000000044,0.13259172439575195,0.00012412275464157574,0.002853183075785637,0.7414969990470676,1,0.06666666666666667,0 15
