method,image_id,repeat,k_budget,k,cost,k_norm,mse,ssim,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,is_pareto_global,is_pareto_by_method
random,0,0.0,6,6,1.0,1.0,0.0022775640245527,0.9572614377595968,0.9977224359754472,0.9572614377595968,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,False,False
random,0,1.0,6,6,1.0,1.0,0.0022775640245527,0.9572614377595968,0.9977224359754472,0.9572614377595968,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,False,False
random,0,2.0,6,6,1.0,1.0,0.0022775640245527,0.9572614377595968,0.9977224359754472,0.9572614377595968,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,False,False
random,1,0.0,1,1,0.1666666716337204,0.1666666666666666,0.1255671977996826,0.0313478562798754,0.8744328022003174,0.0313478562798754,0.8333333283662796,0.8333333333333334,5,H20,False,False
random,1,1.0,1,1,0.1666666716337204,0.1666666666666666,0.0019506105454638,0.92308997636187,0.998049389454536,0.92308997636187,0.8333333283662796,0.8333333333333334,0,H00,True,True
random,1,2.0,1,1,0.1666666716337204,0.1666666666666666,0.0019506105454638,0.92308997636187,0.998049389454536,0.92308997636187,0.8333333283662796,0.8333333333333334,0,H00,True,True
random,1,0.0,2,2,0.3333333432674408,0.3333333333333333,0.1041379272937774,0.0725972555128195,0.8958620727062225,0.0725972555128195,0.6666666567325592,0.6666666666666667,2 3,H10 H02,False,False
random,1,1.0,2,2,0.3333333432674408,0.3333333333333333,0.0014669182710349,0.9336567544901864,0.998533081728965,0.9336567544901864,0.6666666567325592,0.6666666666666667,0 5,H00 H20,False,False
random,1,2.0,2,2,0.3333333432674408,0.3333333333333333,0.1216439455747604,0.0490687742400558,0.8783560544252396,0.0490687742400558,0.6666666567325592,0.6666666666666667,4 5,H11 H20,False,False
random,1,0.0,3,3,0.5,0.5,0.0007567849243059,0.9566276430554644,0.999243215075694,0.9566276430554644,0.5,0.5,0 3 5,H00 H02 H20,False,False
random,1,1.0,3,3,0.5,0.5,0.0007567849243059,0.9566276430554644,0.999243215075694,0.9566276430554644,0.5,0.5,0 3 5,H00 H02 H20,False,False
random,1,2.0,3,3,0.5,0.5,0.0929279327392578,0.0980110903880044,0.9070720672607422,0.0980110903880044,0.5,0.5,1 2 4,H01 H10 H11,False,False
