episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
1751,9306,0.050000000000000044,0.3821580708026886,0.0004661421052231971,0.0009314047056250274,0.9053918365012593,8,8,9,0.0,7 9 1 5 4 6 2 3 10
1752,9309,0.050000000000000044,0.1487344652414322,0.0004233992949593812,0.0015360361430794,0.8286986004530179,2,2,3,0.0,3 9 10
1753,9313,0.050000000000000044,0.07023914158344269,0.00041462836088612676,0.0005277672316879034,0.9248363612558556,3,3,4,0.0,8 7 9 10
1754,9316,0.050000000000000044,0.08442725986242294,0.00039485914749093354,0.001293298089876771,0.8578867554912669,2,2,3,0.0,8 7 10
1755,9323,0.050000000000000044,0.41772374510765076,0.0004421446605452469,0.0003583391662687063,0.9344370975363977,6,6,7,0.0,4 9 3 7 5 6 10
1756,9327,0.050000000000000044,0.10029949247837067,0.0004573616461129859,0.0003878751886077225,0.9448756375189485,3,3,4,0.0,3 4 5 10
1757,9330,0.050000000000000044,0.07245881110429764,0.00045128936956947047,0.0013972548767924309,0.8446472032564857,2,2,3,0.0,7 5 10
1758,9334,0.050000000000000044,0.3220631182193756,0.0005200491286814213,0.00039680927875451744,0.9629182144202176,3,3,4,0.0,4 5 3 10
1759,9342,0.050000000000000044,0.5190927982330322,0.0004086803710379172,0.0007703872397542,0.9332438252343576,7,7,8,0.0,7 9 4 5 6 2 3 10
1760,9349,0.050000000000000044,0.3668995201587677,0.0004131873928210033,0.0006145805818960071,0.9236309145279361,6,6,7,0.0,7 9 4 5 3 2 10
1761,9353,0.050000000000000044,0.1968708038330078,0.0003520231257425621,0.0007160058012232184,0.9380829586923193,3,3,4,0.0,3 5 4 10
1762,9357,0.050000000000000044,0.17665845155715942,0.0004602719418471679,0.0008646699134260416,0.9188100051901145,3,3,4,0.0,3 5 4 10
1763,9360,0.050000000000000044,0.09888169914484024,0.000396083186691006,0.0010826841462403536,0.8978112265578384,2,2,3,0.0,1 7 10
1764,9364,0.050000000000000044,0.17665845155715942,0.0003998636530013755,0.0008646699134260416,0.9188100051901145,3,3,4,0.0,3 5 4 10
1765,9368,0.050000000000000044,0.1996101438999176,0.0004270971694495529,0.0004871294368058443,0.9462413316709959,3,3,4,0.0,3 5 4 10
1766,9372,0.050000000000000044,0.21499721705913544,0.0003876682385453023,0.0007459187181666493,0.9416358080580742,3,3,4,0.0,4 3 5 10
1767,9376,0.050000000000000044,0.16699495911598206,0.0003268242289777845,0.0019570025615394115,0.896982293051095,3,3,4,0.0,3 8 4 10
1768,9379,0.050000000000000044,0.09591355174779892,0.00035742394781361025,0.0011364452075213194,0.881234130433425,2,2,3,0.0,8 7 10
1769,9382,0.050000000000000044,0.10164231806993484,0.00037268971209414303,0.0010656961239874363,0.9006846673414554,2,2,3,0.0,7 8 10
1770,9386,0.050000000000000044,0.30158212780952454,0.00035900648072129115,0.0004913120064884424,0.9460985286517886,3,3,4,0.0,4 3 5 10
1771,9389,0.050000000000000044,0.36644601821899414,0.0004462835398347427,0.0016177521320059896,0.850256281024494,2,2,3,0.0,7 5 10
1772,9393,0.050000000000000044,0.3135063946247101,0.0003610572384786792,0.0006012842059135437,0.9540004504138025,3,3,4,0.0,4 5 3 10
1773,9396,0.050000000000000044,0.08442725986242294,0.00047267710518402356,0.001293298089876771,0.8578867554912669,2,2,3,0.0,7 8 10
1774,9401,0.050000000000000044,0.29167670011520386,0.0003974866936914623,0.0005717716412618756,0.9569784052997792,4,4,5,0.0,4 6 5 3 10
1775,9405,0.050000000000000044,0.07092421501874924,0.0003522659608279355,0.0011787256225943565,0.8939529767838018,3,3,4,0.0,4 3 5 10
1776,9408,0.050000000000000044,0.06865270435810089,0.00043617594443882507,0.001440802589058876,0.8415589681898513,2,2,3,0.0,4 7 10
1777,9412,0.050000000000000044,0.10224214941263199,0.00038703278551111,0.0007125287083908916,0.9225120335356659,3,3,4,0.0,4 3 5 10
1778,9420,0.050000000000000044,0.4055359959602356,0.00033014831933542155,0.000349960959283635,0.9361082741749273,7,7,8,0.0,4 9 3 7 5 2 6 10
1779,9423,0.050000000000000044,0.0906403511762619,0.00044532962298641604,0.0005945689044892788,0.9094967586071397,2,2,3,0.0,1 7 10
1780,9426,0.050000000000000044,0.09758038073778152,0.00037766290673365194,0.0011654619593173265,0.8859952985177284,2,2,3,0.0,1 7 10
1781,9430,0.050000000000000044,0.30297723412513733,0.0003667468190542422,0.0009209985146299005,0.9276692834057082,3,3,4,0.0,4 5 3 10
1782,9434,0.050000000000000044,0.3135063946247101,0.0003169417832395993,0.0006012842059135437,0.9540004504138025,3,3,4,0.0,4 5 3 10
1783,9438,0.050000000000000044,0.1996101588010788,0.00035082552494714037,0.0004871294368058443,0.9462413316709959,3,3,4,0.0,4 3 5 10
