episode,seed,hermite_config,sigma,kernel_size,max_order,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
47,0,sigma_1p0__kernel_9__order_2,1.0,9,2,150,0.9525,0.0,0.004050840623676777,0.0011536136735230684,0.9010127445552211,0,0,1,0.0,6
48,0,sigma_1p0__kernel_9__order_2,1.0,9,2,153,0.95155,0.133186936378479,0.003653326847900947,0.00040230699232779443,0.95709592752451,2,2,3,0.0,1 2 6
49,0,sigma_1p0__kernel_9__order_2,1.0,9,2,157,0.9502833333333334,0.4273219108581543,0.002984871156513691,0.0004148129664827138,0.96751252140996,3,3,4,0.0,3 2 4 6
50,0,sigma_1p0__kernel_9__order_2,1.0,9,2,161,0.9490166666666666,0.11284056305885315,0.002943527768366039,0.0005755031015723944,0.961151155825886,3,3,4,0.0,4 1 5 6
51,0,sigma_1p0__kernel_9__order_2,1.0,9,2,166,0.9474333333333333,0.050655797123909,0.002260936819948256,0.000355405529262498,0.9766140363481467,5,5,6,0.0,5 3 4 2 1
52,0,sigma_1p0__kernel_9__order_2,1.0,9,2,170,0.9461666666666667,0.45421576499938965,0.002239112014649436,0.0002658700686879456,0.9685054444104397,3,3,4,0.0,5 4 3 6
53,0,sigma_1p0__kernel_9__order_2,1.0,9,2,172,0.9455333333333333,0.14025714993476868,0.001846834784373641,0.0018857376417145133,0.8483197841523094,1,1,2,0.0,5 6
54,0,sigma_1p0__kernel_9__order_2,1.0,9,2,175,0.9445833333333333,0.014068253338336945,0.001834732402736942,0.0007290833164006472,0.9344474175295988,2,2,3,0.0,1 4 6
55,0,sigma_1p0__kernel_9__order_2,1.0,9,2,180,0.9430000000000001,-0.07886949181556702,0.001492481678724289,0.00010020502668339759,0.991501499813462,5,5,6,0.0,5 4 2 3 1
56,0,sigma_1p0__kernel_9__order_2,1.0,9,2,184,0.9417333333333333,0.0015183240175247192,0.0011619910219451413,0.0003998184984084219,0.9564773859755179,3,3,4,0.0,4 1 3 6
57,0,sigma_1p0__kernel_9__order_2,1.0,9,2,189,0.94015,0.42462193965911865,0.0012314507737755775,0.0002650593232829124,0.968571965036721,4,4,5,0.0,3 5 4 1 6
58,0,sigma_1p0__kernel_9__order_2,1.0,9,2,193,0.9388833333333333,0.16481977701187134,0.00111104451934807,0.0002559213316999376,0.9799899954114034,3,3,4,0.0,5 3 4 6
59,0,sigma_1p0__kernel_9__order_2,1.0,9,2,198,0.9373,-0.06360649317502975,0.0010521926102228462,0.000572658609598875,0.9485629933767739,4,4,5,0.0,1 5 4 3 6
60,0,sigma_1p0__kernel_9__order_2,1.0,9,2,203,0.9357166666666666,0.06753630936145782,0.0011267082998529076,0.00035335123538970947,0.9694621000221878,4,4,5,0.0,1 5 3 2 6
61,0,sigma_1p0__kernel_9__order_2,1.0,9,2,205,0.9350833333333334,0.06885778158903122,0.0010243679862469435,0.0009730406454764307,0.927493339335805,1,1,2,0.0,4 6
62,0,sigma_1p0__kernel_9__order_2,1.0,9,2,208,0.9341333333333334,0.08826678991317749,0.0009309932356700301,0.0009285745909437537,0.9332974080913273,2,2,3,0.0,1 5 6
63,0,sigma_1p0__kernel_9__order_2,1.0,9,2,211,0.9331833333333334,0.132526233792305,0.0009425268702519437,0.0006626942194998264,0.9446237576099978,2,2,3,0.0,4 5 6
64,0,sigma_1p0__kernel_9__order_2,1.0,9,2,216,0.9316,0.3686700761318207,0.0009159977431409061,0.00035361768095754087,0.9563413180685497,4,4,5,0.0,2 5 3 1 6
65,0,sigma_1p0__kernel_9__order_2,1.0,9,2,217,0.9312833333333334,0.0,0.0008932022610679269,0.0018314453773200512,0.7879006373170014,0,0,1,0.0,6
66,0,sigma_1p0__kernel_9__order_2,1.0,9,2,218,0.9309666666666667,0.0,0.0008035829523578286,0.0017653151880949736,0.843665886736795,0,0,1,0.0,6
67,0,sigma_1p0__kernel_9__order_2,1.0,9,2,220,0.9303333333333333,0.20017266273498535,0.0008961597341112792,0.0006015819380991161,0.9371621870789034,1,1,2,0.0,4 6
68,0,sigma_1p0__kernel_9__order_2,1.0,9,2,225,0.92875,0.043833523988723755,0.0008271322585642338,0.0004917666665278375,0.9534416832517075,4,4,5,0.0,2 3 1 5 6
69,0,sigma_1p0__kernel_9__order_2,1.0,9,2,229,0.9274833333333333,-0.0068992748856544495,0.0008026329451240599,0.0004980077501386404,0.949553610134635,3,3,4,0.0,2 4 5 6
70,0,sigma_1p0__kernel_9__order_2,1.0,9,2,233,0.9262166666666667,0.2356327474117279,0.000834605423733592,0.0002194033149862662,0.9735425744697398,3,3,4,0.0,5 2 1 6
71,0,sigma_1p0__kernel_9__order_2,1.0,9,2,238,0.9246333333333333,0.42462190985679626,0.0007071741507388652,0.0002650593232829124,0.968571965036721,4,4,5,0.0,5 4 1 3 6
72,0,sigma_1p0__kernel_9__order_2,1.0,9,2,241,0.9236833333333333,0.41939011216163635,0.0007158298976719379,0.0004342467291280627,0.959194655597706,2,2,3,0.0,1 2 6
73,0,sigma_1p0__kernel_9__order_2,1.0,9,2,244,0.9227333333333334,0.18298253417015076,0.0006919179771405956,0.0007255175150930882,0.9204214594274865,2,2,3,0.0,1 4 6
74,0,sigma_1p0__kernel_9__order_2,1.0,9,2,245,0.9224166666666667,0.0,0.0005752983270213008,0.0015070094959810376,0.8746289871278685,0,0,1,0.0,6
75,0,sigma_1p0__kernel_9__order_2,1.0,9,2,247,0.9217833333333334,0.08828137814998627,0.0006467673520091921,0.0010684665758162737,0.8993923663384282,1,1,2,0.0,5 6
76,0,sigma_1p0__kernel_9__order_2,1.0,9,2,252,0.9202,-0.08269047737121582,0.0032814238220453262,0.0006456755218096077,0.9295716365083928,4,4,5,0.0,2 1 5 3 6
77,0,sigma_1p0__kernel_9__order_2,1.0,9,2,257,0.9186166666666666,0.5642457008361816,0.0026238353224471212,0.000310016970615834,0.9650295623771926,5,5,6,0.0,3 4 5 1 2
78,0,sigma_1p0__kernel_9__order_2,1.0,9,2,261,0.91735,0.007247328758239746,0.0027246251120232046,0.0005897474475204945,0.951303870956481,3,3,4,0.0,5 3 2 6
79,0,sigma_1p0__kernel_9__order_2,1.0,9,2,263,0.9167166666666666,0.13699577748775482,0.0013222002307884395,0.0007784960907883942,0.9428661114510756,1,1,2,0.0,1 6
80,0,sigma_1p0__kernel_9__order_2,1.0,9,2,265,0.9160833333333334,0.2544959783554077,0.001677971100434661,0.0005161717999726534,0.9203474802650538,1,1,2,0.0,5 6
81,0,sigma_1p0__kernel_9__order_2,1.0,9,2,269,0.9148166666666666,0.15966123342514038,0.0015182155766524374,0.0002310934942215681,0.9801104172054284,3,3,4,0.0,5 4 3 6
82,0,sigma_1p0__kernel_9__order_2,1.0,9,2,270,0.9145,0.0,0.0010211996268481016,0.0017319965409114957,0.8891542722049139,0,0,1,0.0,6
83,0,sigma_1p0__kernel_9__order_2,1.0,9,2,272,0.9138666666666666,0.26370906829833984,0.0010174269264098257,0.0009479798609390855,0.9298883305505964,1,1,2,0.0,1 6
84,0,sigma_1p0__kernel_9__order_2,1.0,9,2,275,0.9129166666666667,0.4077620804309845,0.0011183146464948852,0.00046406782348640263,0.9577729830099768,2,2,3,0.0,5 2 6
85,0,sigma_1p0__kernel_9__order_2,1.0,9,2,280,0.9113333333333333,0.043833523988723755,0.001029874652158469,0.0004917666665278375,0.9534416832517075,4,4,5,0.0,5 2 3 1 6
86,0,sigma_1p0__kernel_9__order_2,1.0,9,2,281,0.9110166666666667,0.0,0.0008296853629872203,0.0011481661349534988,0.8678097875875185,0,0,1,0.0,6
87,0,sigma_1p0__kernel_9__order_2,1.0,9,2,282,0.9107000000000001,0.0,0.0008980266284197569,0.0015879170969128609,0.8924703862823714,0,0,1,0.0,6
88,0,sigma_1p0__kernel_9__order_2,1.0,9,2,285,0.9097500000000001,0.32401394844055176,0.0008488735960175594,0.0009046600316651165,0.9372935018698185,2,2,3,0.0,3 2 6
89,0,sigma_1p0__kernel_9__order_2,1.0,9,2,289,0.9084833333333333,0.12049801647663116,0.0007728386699454859,0.0007914582965895534,0.9567301349889368,3,3,4,0.0,1 3 4 6
