method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions
random,5,5,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012536464491859078,0.8991050635210895,0.8556700118434806,0.9987463535508141,0.8991050635210895,0.6666666666666667,0.6666666666666667,0 1 7 9,H00 H01 H12 H30,1 7 9,H01 H12 H30,,,,
random,5,6,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0013690679334104061,0.8838421052120246,0.855272739430577,0.9986309320665896,0.8838421052120246,0.6666666666666667,0.6666666666666667,0 2 3 9,H00 H10 H02 H30,2 3 9,H10 H02 H30,,,,
random,5,7,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0010586031712591648,0.9088503664246496,0.898203420474168,0.9989413968287408,0.9088503664246496,0.6666666666666667,0.6666666666666667,0 4 6 8,H00 H11 H03 H21,4 6 8,H11 H03 H21,,,,
random,5,8,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0008789908024482429,0.918623225654915,0.9189666237392605,0.9991210091975518,0.918623225654915,0.6666666666666667,0.6666666666666667,0 3 5 9,H00 H02 H20 H30,3 5 9,H02 H20 H30,,,,
random,5,9,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0013690679334104061,0.8838421052120246,0.855272739430577,0.9986309320665896,0.8838421052120246,0.6666666666666667,0.6666666666666667,0 2 3 9,H00 H10 H02 H30,2 3 9,H10 H02 H30,,,,
random,5,10,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0009260637452825904,0.915882139680431,0.8915860287330165,0.9990739362547174,0.915882139680431,0.6666666666666667,0.6666666666666667,0 1 4 7,H00 H01 H11 H12,1 4 7,H01 H11 H12,,,,
random,5,11,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0010261156130582094,0.9053584945063671,0.8971917480144822,0.9989738843869418,0.9053584945063671,0.6666666666666667,0.6666666666666667,0 4 7 9,H00 H11 H12 H30,4 7 9,H11 H12 H30,,,,
random,5,12,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0010262555442750454,0.9072061719264344,0.8921975671934758,0.998973744455725,0.9072061719264344,0.6666666666666667,0.6666666666666667,0 1 4 9,H00 H01 H11 H30,1 4 9,H01 H11 H30,,,,
random,5,13,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001189173199236393,0.8916029623941065,0.849346826371119,0.9988108268007636,0.8916029623941065,0.6666666666666667,0.6666666666666667,0 1 2 6,H00 H01 H10 H03,1 2 6,H01 H10 H03,,,,
random,5,14,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012282973621040583,0.8948191877379216,0.854017913347038,0.9987717026378959,0.8948191877379216,0.6666666666666667,0.6666666666666667,0 2 3 6,H00 H10 H02 H03,2 3 6,H10 H02 H03,,,,
